"filename", "language", "JavaScript", "Vue", "SCSS", "comment", "blank", "total"
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/App.vue", "Vue", 0, 259, 0, 0, 51, 310
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/assets/_placeholder.scss", "SCSS", 0, 0, 39, 163, 46, 248
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/assets/_variables.scss", "SCSS", 0, 0, 2, 0, 2, 4
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/assets/maxwidth.scss", "SCSS", 0, 0, 12, 0, 1, 13
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/assets/styles-override.scss", "SCSS", 0, 0, 68, 1, 14, 83
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/AdminActionsNote.vue", "Vue", 0, 33, 0, 0, 5, 38
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/AlertPleaseLogIn.vue", "Vue", 0, 12, 0, 0, 2, 14
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/ArticlActions.vue", "Vue", 0, 51, 0, 0, 8, 59
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/ArticlsList.vue", "Vue", 0, 136, 0, 0, 24, 160
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/ArticlsListItem.vue", "Vue", 0, 212, 0, 0, 32, 244
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/ArticlsTabs.vue", "Vue", 0, 85, 0, 0, 8, 93
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/CategoriesListItem.vue", "Vue", 0, 72, 0, 0, 16, 88
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/CategoryActions.vue", "Vue", 0, 54, 0, 0, 7, 61
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/DirectoryActions.vue", "Vue", 0, 19, 0, 0, 3, 22
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/NoteCrud.vue", "Vue", 0, 123, 0, 0, 19, 142
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/NotesList.vue", "Vue", 0, 37, 0, 0, 6, 43
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/NotesListItem.vue", "Vue", 0, 80, 0, 0, 11, 91
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TabArticls.vue", "Vue", 0, 116, 0, 0, 16, 132
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TabBlogs.vue", "Vue", 0, 26, 0, 0, 11, 37
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TabCategories.vue", "Vue", 0, 105, 0, 0, 20, 125
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TabNotes.vue", "Vue", 0, 35, 0, 0, 6, 41
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TabQuestionsAnswers.vue", "Vue", 0, 35, 0, 0, 6, 41
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TheArticlsSearchForm.vue", "Vue", 0, 233, 0, 0, 17, 250
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TheArticlsSearchParams.vue", "Vue", 0, 149, 0, 0, 18, 167
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TheBreadcrumbs.vue", "Vue", 0, 33, 0, 0, 3, 36
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TheFooter.vue", "Vue", 0, 17, 0, 0, 2, 19
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/layout/TheHeader.vue", "Vue", 0, 255, 0, 0, 37, 292
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/components/ui/CardNotification.vue", "Vue", 0, 57, 0, 0, 10, 67
